Borough Name,Offence Group,Count,Population,TotalBoroughCrime,Percentage,Rate,Type
Kensington and Chelsea,Violence Against The Person,4256,143375,18125,23.48137931,29.68439407,Peer
Southwark,Vehicle Offences,2800,307637,31071,9.011618551,9.101636019,Peer
Sutton,Miscellaneous Crimes Against Society,181,209639,12785,1.415721549,0.863388969,Peer
Sutton,Public Order Offences,938,209639,12785,7.336722722,4.474358302,Peer
Sutton,Robbery,222,209639,12785,1.736409855,1.058963265,Peer
Sutton,Theft,2096,209639,12785,16.39421197,9.998139659,Peer
Lewisham,Violence Against The Person,8268,300553,26459,31.2483465,27.50929121,Peer
Sutton,Vehicle Offences,1933,209639,12785,15.11928041,9.220612577,Peer
Lambeth,Burglary,2199,317654,31224,7.042659493,6.922626506,Peer
Merton,Drug Offences,652,215186,12864,5.06840796,3.029936892,Peer
Merton,Robbery,326,215186,12864,2.53420398,1.514968446,Peer
Kensington and Chelsea,Arson and Criminal Damage,981,143375,18125,5.412413793,6.842197036,Peer
Merton,Vehicle Offences,1538,215186,12864,11.95584577,7.147305122,Peer
Kingston upon Thames,Burglary,726,168063,10983,6.610215788,4.319808643,Peer
Tower Hamlets,Drug Offences,2510,310306,31557,7.953861267,8.088789775,Peer
Newham,Robbery,1070,351036,32193,3.323703911,3.048120421,Peer
Lewisham,Arson and Criminal Damage,2155,300553,26459,8.14467667,7.170116419,Peer
Kingston upon Thames,Drug Offences,911,168063,10983,8.294637167,5.420586328,Peer
Kingston upon Thames,Possession Of Weapons,87,168063,10983,0.792133297,0.517663019,Peer
Newham,Theft,8212,351036,32193,25.50865095,23.39361205,Peer
Lewisham,Burglary,2038,300553,26459,7.702483087,6.780833996,Peer
Lewisham,Public Order Offences,2146,300553,26459,8.110661779,7.140171617,Peer
Tower Hamlets,Theft,7184,310306,31557,22.76515512,23.15134093,Peer
Lewisham,Sexual Offences,757,300553,26459,2.861030273,2.518690547,Peer
Tower Hamlets,Vehicle Offences,3334,310306,31557,10.56500935,10.74423311,Peer
Redbridge,Robbery,616,310260,23891,2.578376795,1.985431574,Peer
Redbridge,Vehicle Offences,3855,310260,23891,16.13578335,12.42506285,Peer
Waltham Forest,Drug Offences,1468,278426,22101,6.642233383,5.272496103,Peer
Lewisham,Possession Of Weapons,284,300553,26459,1.073358782,0.944924855,Peer
Waltham Forest,Sexual Offences,576,278426,22101,2.606216913,2.068772313,Peer
Merton,Burglary,923,215186,12864,7.175062189,4.289312502,Peer
Lewisham,Theft,4770,300553,26459,18.02789221,15.87074493,Peer
Waltham Forest,Theft,4453,278426,22101,20.14840957,15.99347762,Peer
Merton,Possession Of Weapons,97,215186,12864,0.754042289,0.45077282,Peer
Wandsworth,Burglary,2219,327506,24976,8.884529148,6.775448389,Peer
Wandsworth,Miscellaneous Crimes Against Society,332,327506,24976,1.329276105,1.013721886,Peer
